1650284900   Words were given.
Words:  nhbutg7g8uj8uh7tf6esedfuj , buyniuhutg7tfg7yh9ju9ik0
1650284900   Vector created.
1650284900   11 7  value: 8
1650284900   10 8  skip 
1650284900   10 8  value: 7
1650284900   9 9  skip 
1650284900   9 9  value: 9
1650284900   8 10  skip 
1650284900   8 10  value: 8
1650284900   7 11  skip 
1650284900   7 11  value: 6
1650284900   6 12  skip 
1650284900   6 12  value: 8
1650284900   5 13  skip 
1650284900   5 13  value: 10
1650284900   4 14  skip 
1650284900   4 14  value: 12
1650284900   3 15  skip 
1650284900   3 15  value: 13
1650284900   2 16  skip 
1650284900   2 16  value: 14
1650284900   1 17  skip 
1650284900   1 17  value: 16
1650284900   0 18  skip 
1650284900   0 18  value: 18
1650284900   19 0  skip 
1650284900   19 0  value: 19
1650284900   18 1  skip 
1650284900   18 1  value: 17
1650284900   17 2  skip 
1650284900   17 2  value: 15
1650284900   16 3  skip 
1650284900   16 3  value: 14
1650284900   15 4  skip 
1650284900   15 4  value: 13
1650284900   14 5  skip 
1650284900   14 5  value: 12
1650284900   13 6  skip 
1650284900   13 6  value: 10
1650284900   12 7  skip 
1650284900   12 7  value: 9
1650284900   11 8  skip 
1650284900   11 8  value: 8
1650284900   10 9  skip 
1650284900   10 9  value: 8
1650284900   9 10  skip 
1650284900   9 10  value: 9
1650284900   8 11  skip 
1650284900   8 11  value: 7
1650284900   7 12  skip 
1650284900   7 12  value: 7
1650284900   6 13  skip 
1650284900   6 13  value: 9
1650284900   5 14  skip 
1650284900   5 14  value: 11
1650284900   4 15  skip 
1650284900   4 15  value: 13
1650284900   3 16  skip 
1650284900   3 16  value: 14
1650284900   2 17  skip 
1650284900   2 17  value: 15
1650284900   1 18  skip 
1650284900   1 18  value: 17
1650284900   0 19  skip 
1650284900   0 19  value: 19
1650284900   20 0  skip 
1650284900   20 0  value: 20
1650284900   19 1  skip 
1650284900   19 1  value: 18
1650284900   18 2  skip 
1650284900   18 2  value: 16
1650284900   17 3  skip 
1650284900   17 3  value: 15
1650284900   16 4  skip 
1650284900   16 4  value: 14
1650284900   15 5  skip 
1650284900   15 5  value: 13
1650284900   14 6  skip 
1650284900   14 6  value: 11
1650284900   13 7  skip 
1650284900   13 7  value: 10
1650284900   12 8  skip 
1650284900   12 8  value: 9
1650284900   11 9  skip 
1650284900   11 9  value: 8
1650284900   10 10  skip 
1650284900   10 10  value: 9
1650284900   9 11  skip 
1650284900   9 11  value: 8
1650284900   8 12  skip 
1650284900   8 12  value: 7
1650284900   7 13  skip 
1650284900   7 13  value: 8
1650284900   6 14  skip 
1650284900   6 14  value: 10
1650284900   5 15  skip 
1650284900   5 15  value: 12
1650284900   4 16  skip 
1650284900   4 16  value: 14
1650284900   3 17  skip 
1650284900   3 17  value: 15
1650284900   2 18  skip 
1650284900   2 18  value: 16
1650284900   1 19  skip 
1650284900   1 19  value: 18
1650284900   0 20  skip 
1650284900   0 20  value: 20
1650284900   21 0  skip 
1650284900   21 0  value: 21
1650284900   20 1  skip 
1650284900   20 1  value: 19
1650284900   19 2  skip 
1650284900   19 2  value: 17
1650284900   18 3  skip 
1650284900   18 3  value: 16
1650284900   17 4  skip 
1650284900   17 4  value: 15
1650284900   16 5  skip 
1650284900   16 5  value: 14
1650284900   15 6  skip 
1650284900   15 6  value: 12
1650284900   14 7  skip 
1650284900   14 7  value: 10
1650284900   13 8  skip 
1650284900   13 8  value: 9
1650284900   12 9  skip 
1650284900   12 9  value: 9
1650284900   11 10  skip 
1650284900   11 10  value: 9
1650284900   10 11  skip 
1650284900   10 11  value: 9
1650284900   9 12  skip 
1650284900   9 12  value: 8
1650284900   8 13  skip 
1650284900   8 13  value: 8
1650284900   7 14  skip 
1650284900   7 14  value: 9
1650284900   6 15  skip 
1650284900   6 15  value: 11
1650284900   5 16  skip 
1650284900   5 16  value: 13
1650284900   4 17  skip 
1650284900   4 17  value: 15
1650284900   3 18  skip 
1650284900   3 18  value: 16
1650284900   2 19  skip 
1650284900   2 19  value: 17
1650284900   1 20  skip 
1650284900   1 20  value: 19
1650284900   0 21  skip 
